NodeID,X,Y,Z
133,0.0,-35.50000000000001,-32.5
134,0.0,-30.250000000000007,-32.5
135,0.0,-25.000000000000004,-32.5
136,0.0,-19.750000000000004,-32.5
137,0.0,-14.5,-32.5
138,0.0,-9.25,-32.5
139,5.263157894736841,4.0,-32.5
140,10.526315789473681,4.0,-32.5
141,15.789473684210524,4.0,-32.5
142,21.052631578947363,4.0,-32.5
143,26.315789473684212,4.0,-32.5
144,31.578947368421073,4.0,-32.5
145,36.842105263157926,4.0,-32.5
146,42.10526315789478,4.0,-32.5
147,47.36842105263162,4.0,-32.5
148,52.63157894736844,4.0,-32.5
149,57.89473684210527,4.0,-32.5
150,63.157894736842096,4.0,-32.5
151,68.42105263157892,4.0,-32.5
152,73.68421052631574,4.0,-32.5
153,78.94736842105256,4.0,-32.5
154,84.21052631578938,4.0,-32.5
155,89.47368421052622,4.0,-32.5
156,94.73684210526312,4.0,-32.5
157,5.263157894736841,4.0,32.5
158,10.526315789473681,4.0,32.5
159,15.789473684210524,4.0,32.5
160,21.052631578947363,4.0,32.5
161,26.315789473684212,4.0,32.5
162,31.578947368421073,4.0,32.5
163,36.842105263157926,4.0,32.5
164,42.10526315789478,4.0,32.5
165,47.36842105263162,4.0,32.5
166,52.63157894736844,4.0,32.5
167,57.89473684210527,4.0,32.5
168,63.157894736842096,4.0,32.5
169,68.42105263157892,4.0,32.5
170,73.68421052631574,4.0,32.5
171,78.94736842105256,4.0,32.5
172,84.21052631578938,4.0,32.5
173,89.47368421052622,4.0,32.5
174,94.73684210526312,4.0,32.5
175,100.0,4.0,-27.083333333333336
176,100.0,4.0,-21.666666666666668
177,100.0,4.0,-16.25
178,100.0,4.0,-10.833333333333332
179,100.0,4.0,-5.416666666666689
180,100.0,4.0,-4.973799150320701e-14
181,100.0,4.0,5.416666666666593
182,100.0,4.0,10.83333333333323
183,100.0,4.0,16.249999999999922
184,100.0,4.0,21.666666666666615
185,100.0,4.0,27.083333333333307
186,5.263157894736841,46.0,32.5
187,10.526315789473681,46.0,32.5
188,15.789473684210524,46.0,32.5
189,21.052631578947363,46.0,32.5
190,26.315789473684212,46.0,32.5
191,31.578947368421073,46.0,32.5
192,36.842105263157926,46.0,32.5
193,42.10526315789478,46.0,32.5
194,47.36842105263162,46.0,32.5
195,52.63157894736844,46.0,32.5
196,57.89473684210527,46.0,32.5
197,63.157894736842096,46.0,32.5
198,68.42105263157892,46.0,32.5
199,73.68421052631574,46.0,32.5
200,78.94736842105256,46.0,32.5
201,84.21052631578938,46.0,32.5
202,89.47368421052622,46.0,32.5
203,94.73684210526312,46.0,32.5
204,100.0,9.249999999999993,32.5
205,100.0,14.499999999999993,32.5
206,100.0,19.749999999999993,32.5
207,100.0,24.999999999999996,32.5
208,100.0,30.249999999999996,32.5
209,100.0,35.5,32.5
210,100.0,40.75,32.5
211,5.263157894736841,46.0,26.5
212,10.526315789473681,46.0,26.5
213,15.789473684210524,46.0,26.5
214,21.052631578947363,46.0,26.5
215,26.315789473684212,46.0,26.5
216,31.578947368421073,46.0,26.5
217,36.842105263157926,46.0,26.5
218,42.10526315789478,46.0,26.5
219,47.36842105263162,46.0,26.5
220,52.63157894736844,46.0,26.5
221,57.89473684210527,46.0,26.5
222,63.157894736842096,46.0,26.5
223,68.42105263157892,46.0,26.5
224,73.68421052631574,46.0,26.5
225,78.94736842105256,46.0,26.5
226,84.21052631578938,46.0,26.5
227,89.47368421052622,46.0,26.5
228,94.73684210526312,46.0,26.5
229,100.0,46.0,29.5
230,5.263157894736841,17.0,26.5
231,10.526315789473681,17.0,26.5
232,15.789473684210524,17.0,26.5
233,21.052631578947363,17.0,26.5
234,26.315789473684212,17.0,26.5
235,31.578947368421073,17.0,26.5
236,36.842105263157926,17.0,26.5
237,42.10526315789478,17.0,26.5
238,47.36842105263162,17.0,26.5
239,52.63157894736844,17.0,26.5
240,57.89473684210527,17.0,26.5
241,63.157894736842096,17.0,26.5
242,68.42105263157892,17.0,26.5
243,73.68421052631574,17.0,26.5
244,78.94736842105256,17.0,26.5
245,84.21052631578938,17.0,26.5
246,89.47368421052622,17.0,26.5
247,94.73684210526312,17.0,26.5
248,100.0,41.16666666666668,26.5
249,100.0,36.33333333333336,26.5
250,100.0,31.500000000000025,26.5
251,100.0,26.666666666666682,26.5
252,100.0,21.833333333333343,26.5
253,5.263157894736841,9.5,19.0
254,10.526315789473681,9.5,19.0
255,15.789473684210524,9.5,19.0
256,21.052631578947363,9.5,19.0
257,26.315789473684212,9.5,19.0
258,31.578947368421073,9.5,19.0
259,36.842105263157926,9.5,19.0
260,42.10526315789478,9.5,19.0
261,47.36842105263162,9.5,19.0
262,52.63157894736844,9.5,19.0
263,57.89473684210527,9.5,19.0
264,63.157894736842096,9.5,19.0
265,68.42105263157892,9.5,19.0
266,73.68421052631574,9.5,19.0
267,78.94736842105256,9.5,19.0
268,84.21052631578938,9.5,19.0
269,89.47368421052622,9.5,19.0
270,94.73684210526312,9.5,19.0
271,100.0,13.249999999999993,22.749999999999993
272,5.263157894736841,9.5,-19.0
273,10.526315789473681,9.5,-19.0
274,15.789473684210524,9.5,-19.0
275,21.052631578947363,9.5,-19.0
276,26.315789473684212,9.5,-19.0
277,31.578947368421073,9.5,-19.0
278,36.842105263157926,9.5,-19.0
279,42.10526315789478,9.5,-19.0
280,47.36842105263162,9.5,-19.0
281,52.63157894736844,9.5,-19.0
282,57.89473684210527,9.5,-19.0
283,63.157894736842096,9.5,-19.0
284,68.42105263157892,9.5,-19.0
285,73.68421052631574,9.5,-19.0
286,78.94736842105256,9.5,-19.0
287,84.21052631578938,9.5,-19.0
288,89.47368421052622,9.5,-19.0
289,94.73684210526312,9.5,-19.0
290,100.0,9.5,13.571428571428575
291,100.0,9.5,8.14285714285715
292,100.0,9.5,2.7142857142857437
293,100.0,9.5,-2.7142857142856585
294,100.0,9.5,-8.142857142857107
295,100.0,9.5,-13.571428571428555
296,5.263157894736841,17.0,-26.5
